idea,descripcion,edad minima,edad maxima,nivel dificuldad,componentes
El Libro Mágico de Aventuras,"Crea una historia donde el oyente es el protagonista. El audio cuenta una parte de la historia y se detiene. Para saber qué pasa después, el niño debe agitar el dispositivo como si estuviera pasando una página mágica pesada.",7,11,2,"Audio Player, Motion"
La Bomba de Tiempo Digital,Programa el clásico juego de la patata caliente. El dispositivo hará tic-tac mientras lo pasáis con cuidado. Si alguien lo lanza demasiado fuerte o se acaba el tiempo aleatorio... ¡BOOM! Sonido de explosión.,9,13,2,"Audio Player, Motion"
Tu Entrenador Personal Robot,"¡Ponte en forma con código! Sujeta el dispositivo a tu pecho. Cada vez que bajes y subas completando una sentadilla, el dispositivo te felicitará con un '¡Uno!', '¡Dos!', '¡Vamos!'.",11,15,3,"Audio Player, Motion"
El Huevo de Dragón Delicado,"Tienes un huevo de dragón a punto de nacer. Debes mantenerlo tranquilo. Si está quieto, escucharás latidos suaves. Si lo mueves bruscamente, el dragón rugirá enfadado. ¡Cuidado no lo rompas!",6,10,1,"Audio Player, Motion"
Piloto de Fórmula 1,"Transforma tu mano en un pedal de acelerador. Si mantienes el dispositivo plano, el motor ronronea. Al inclinarlo hacia adelante, ¡el motor ruge y acelera! Compite con tus amigos haciendo los mejores efectos sonoros.",8,12,2,"Audio Player, Motion"
El Constructor a Ciegas,"Crea una herramienta inclusiva. El reto es nivelar una mesa o un estante usando solo el oído. Si el dispositivo está inclinado suena agudo, si está recto suena un tono agradable y grave. ¿Puedes ponerlo recto con los ojos cerrados?",12,16,3,"Audio Player, Motion"
Entrenamiento Ninja,"Los ninjas deben ser silenciosos. Camina de un extremo a otro de la habitación con el sensor. Si te mueves demasiado rápido o brusco, sonará un 'Gong' y tendrás que volver a empezar. ¿Puedes llegar sin hacer ruido?",7,12,2,"Audio Player, Motion"
La Caja de las Risas,"Prepara una broma para tus amigos. Esconde el dispositivo en una caja. Programa una lista de sonidos ridículos (pedos, risas, bocinas). Cada vez que alguien mueva la caja, ¡sonará algo diferente e inesperado!",8,11,2,"Audio Player, Motion"
Maestro Zen,"Un desafío de autocontrol. Siéntate en posición de loto con el sensor en la mano. Si te mantienes perfectamente quieto, escucharás un relajante río. Si te mueves, el río se seca (silencio). ¿Cuánto tiempo puedes mantener el río fluyendo?",10,15,2,"Audio Player, Motion"
Lanzamiento de Cohetes Espaciales,Simula que lanzas un cohete al espacio. Haz el movimiento de lanzar hacia arriba con el brazo. El dispositivo debe detectar la aceleración vertical y reproducir un sonido de despegue 'Whoooosh'.,6,9,1,"Audio Player, Motion"
DJ de Movimiento,"Conviértete en un DJ que no usa botones. Inclina el dispositivo a la izquierda para que suene la batería, y a la derecha para añadir el bajo. ¡Encuentra el equilibrio perfecto en el centro para mezclar ambas!",11,16,3,"Audio Player, Motion"
El Botiquín Inteligente,"Diseña un prototipo para ayudar a los abuelos. Si el dispositivo detecta una caída brusca (impacto fuerte), debe preguntar en voz alta '¿Estás bien?' o emitir una señal de ayuda. Es programación con un propósito social.",12,16,3,"Audio Player, Motion"
El Guardián de Sueños Robotizado,"¡Ayuda al robot niñera a calmar al bebé alienígena! Los estudiantes programarán un dispositivo que debe permanecer en silencio mientras el bebé duerme, pero si el sensor detecta un llanto fuerte (nivel de ruido alto), debe reproducir inmediatamente una canción de cuna espacial para que vuelva a dormir.",8,11,1,"Audio Player, Noise Level"
La Trampa para el Ladrón de Galletas,"Alguien está robando las galletas de la cocina por la noche. Los estudiantes crearán una trampa invisible: el sistema debe estar escuchando atentamente y, si detecta el más mínimo crujido (ruido > 30), activará una sirena de policía y un ladrido de perro para asustar al ladrón.",9,12,1,"Audio Player, Noise Level"
DJ Mágico sin Manos,"¡Conviértete en un DJ que controla la fiesta con magia! En este desafío, los estudiantes deben programar el sistema para que la música empiece o pare mágicamente solo cuando escuchen un aplauso fuerte, ignorando el ruido de fondo suave de la gente hablando.",10,14,2,"Audio Player, Noise Level"
El Bibliotecario Cyborg Gruñón,"El Bibliotecario Cyborg necesita concentrarse. Los estudiantes programarán sus oídos electrónicos. Si la clase habla demasiado fuerte y supera el nivel de 'susurro', el Cyborg debe emitir automáticamente un sonido de '¡Shhh!' para recordarles las reglas de la biblioteca.",7,10,1,"Audio Player, Noise Level"
Escapa de la Cueva del Dragón,"Los estudiantes son aventureros intentando robar un tesoro. Deben programar al 'Dragón' para que duerma (sin audio) mientras hay silencio, pero si alguien hace ruido al moverse (cruje una rama), el Dragón debe despertar con un rugido terrorífico. ¡El objetivo es probar quién puede ser más sigiloso!",8,12,2,"Audio Player, Noise Level"
Fiesta Inteligente Auto-Ajustable,"En una fiesta, a veces no se oye la música porque todos hablan. Los estudiantes crearán un algoritmo 'DJ Automático' que suba el volumen de la canción proporcionalmente a qué tan fuerte esté gritando o hablando la multitud, manteniendo siempre la música por encima del ruido ambiente.",11,15,3,"Audio Player, Noise Level"
El Valle del Eco Misterioso,"Explora un valle digital. Los estudiantes deben programar el sistema para detectar un grito fuerte. Una vez detectado, el sistema debe esperar brevemente y luego reproducir un efecto de sonido de eco, simulando que están en una inmensa caverna vacía.",9,12,2,"Audio Player, Noise Level"
El Cuentacuentos Tímido,"Han conocido a un robot cuentacuentos muy tímido. Solo cuenta su historia si todos están en absoluto silencio. Los estudiantes deben programar la lógica para que el audio del cuento se reproduzca SOLO si el nivel de ruido es casi cero, y se pause inmediatamente si alguien habla.",7,10,2,"Audio Player, Noise Level"
El Desafío de la Nota Perfecta,"¡Ayuda al cantante a mantener el volumen! Los estudiantes programarán un 'entrenador vocal'. Si el jugador mantiene su voz en un nivel medio (ni muy bajo ni gritando), sonará una música de acompañamiento exitosa. Si gritan o susurran, la música fallará y se detendrá.",12,16,3,"Audio Player, Noise Level"
La Máquina Transmutadora de Gritos,"¿Estás enojado? ¡Grita a la máquina! Los estudiantes diseñarán un dispositivo mágico que toma un grito fuerte y furioso como entrada y, instantáneamente, lo convierte en un sonido ridículo (como un 'cuac' de pato o un resorte cómico) para hacer reír a todos.",8,11,1,"Audio Player, Noise Level"
El Espía Invisible,"Estás en una misión secreta. Debes proteger tu base. Crea un programa que detecte el sonido sutil de pasos enemigos (ruido medio). Al detectarlos, el dispositivo debe reproducir un sonido de 'cámara tomando fotos' para capturar al intruso 'in fraganti'.",10,13,2,"Audio Player, Noise Level"
El Traductor Intergaláctico,"¡Comunícate con los marcianos! Los estudiantes programarán un dispositivo que escuche su voz. Cuando detecte que están hablando, debe esperar un momento y responder reproduciendo sonidos extraños de robots o aliens, simulando que ha traducido sus palabras al idioma 'Marciano'.",9,12,2,"Audio Player, Noise Level"
El Juez Robot de las Estatuas Musicales,"Nadie puede engañar al Juez Robot. Los estudiantes deben crear la lógica del juego: la música suena y para aleatoriamente. El desafío lógico es: una vez que la música para, si el sensor detecta CUALQUIER ruido (risas o pies moviéndose), debe sonar un timbre de error.",10,14,3,"Audio Player, Noise Level"
El Creador de Tormentas,Tú controlas el clima. Los estudiantes programarán un sistema donde un aplauso fuerte (el relámpago) active inmediatamente el sonido de un trueno poderoso. Pueden experimentar con diferentes niveles de aplausos para activar diferentes intensidades de truenos.,8,12,1,"Audio Player, Noise Level"
Tu Mascota Invisible: Fuzz,"Fuzz es una mascota tímida que no puedes ver, solo oír. Los estudiantes deben programar su comportamiento: si le hablas bajito con cariño, Fuzz debe ronronear. Pero cuidado, si detecta gritos o ruidos fuertes, Fuzz llorará y se esconderá.",7,10,2,"Audio Player, Noise Level"
Escuela de Magia: Varita de Sonido,"Para lanzar el hechizo, debes decirlo con convicción. Los estudiantes convertirán el kit en una varita mágica. Deben programarla para que al detectar un comando de voz fuerte (como '¡Abracadabra!'), la varita recompense al mago con un sonido de hechizo exitoso.",8,11,1,"Audio Player, Noise Level"
El Templo del Silencio Zen,El maestro Zen busca la paz absoluta. Los estudiantes deben crear un algoritmo que premie la paciencia: el audio relajante de un río solo comenzará a sonar si la clase logra mantener un silencio casi total durante varios segundos continuos.,12,16,3,"Audio Player, Noise Level"
El Super Auto de Carreras Vocal,"¡Tú eres el motor! Los estudiantes diseñarán el sistema de sonido de un coche de carreras. Si hacen ruido continuo con la boca ('brummm'), el coche debe sonar como si estuviera acelerando a máxima velocidad. Si dejan de hacer ruido, el motor debe sonar detenido.",9,12,2,"Audio Player, Noise Level"
Detector de Fantasmas,"Los fantasmas aparecen cuando todo está demasiado tranquilo. Los estudiantes programarán un detector paranormal que monitorea el silencio. Si la habitación está demasiado callada (Noise < 5), el dispositivo empezará a reproducir ruidos espeluznantes y cadenas arrastrándose.",9,13,2,"Audio Player, Noise Level"
El Aplausómetro de la Fama,"¿Quién es el ganador del concurso de talentos? Los estudiantes construirán un 'Aplausómetro'. Deben programarlo para que, si el público aplaude tan fuerte que rompe el récord (Ruido > 95), suene automáticamente la música de victoria y confeti sonoro.",10,14,1,"Audio Player, Noise Level"
DJ de la Fiesta Escolar,"¡Tú eres el DJ principal de la fiesta de fin de curso! Tu tarea es controlar la música para que todos bailen. Programa el sistema para que cuando actives tu mesa de mezclas (el interruptor), empiece a sonar el último éxito musical y la fiesta comience.",8,11,1,"Audio Player, Switch"
Alerta Roja en la Nave Espacial,"¡Comandante, nos atacan alienígenas! Necesitamos activar la alerta roja inmediatamente. Crea un programa que haga sonar la sirena de emergencia de la nave espacial cuando pulses el interruptor de seguridad para avisar a toda la tripulación.",9,12,1,"Audio Player, Switch"
El Timbre de la Casa Domótica,"Estás diseñando una casa inteligente. Programa el interruptor de la entrada para que funcione como un timbre moderno. Cuando un visitante lo presione, debe sonar un agradable 'ding-dong' para avisar que alguien ha llegado.",8,10,1,"Audio Player, Switch"
El Gran Concurso de TV,"Eres el presentador de un famoso programa de televisión. Cuando un concursante acierte la pregunta del millón, debes activar el interruptor para lanzar el sonido de victoria y aplausos. ¡Haz que el momento sea emocionante!",9,12,1,"Audio Player, Switch"
Director de Cine de Terror,"Estás filmando una película de miedo. Justo cuando el protagonista abre la puerta vieja, necesitas crear suspenso. Programa el interruptor para que, al activarlo, suene un chirrido terrorífico o un viento fantasmal.",10,13,2,"Audio Player, Switch"
Curador del Museo de Historia,"Los visitantes están frente al esqueleto de un Tiranosaurio Rex. Configura el sistema para que, cuando activen el interruptor de información, el dispositivo les cuente la historia de este poderoso dinosaurio.",10,14,2,"Audio Player, Switch"
Piloto de Fórmula 1,"Estás en la línea de salida del Gran Premio. Tu coche está listo. Programa tu volante para que, al girar el interruptor de encendido, el potente motor de tu coche de carreras ruga y estés listo para acelerar.",8,11,1,"Audio Player, Switch"
Mensajero Secreto Espía,Eres un espía en una misión secreta. Necesitas enviar un mensaje en código Morse a tu base. Configura el interruptor para que emita un pitido corto cada vez que lo actives rápidamente. ¡No dejes que te descubran!,11,15,3,"Audio Player, Switch"
El Creador de Sueños,"Ayuda al bebé a dormirse creando un ambiente relajante. Programa el interruptor de la cuna para que, al encenderlo, comience a sonar una suave lluvia o el sonido de las olas del mar.",9,12,1,"Audio Player, Switch"
Juez del Baile Congelado,"¡Es hora de jugar a las estatuas! Tú controlas la diversión. Programa el sistema para que la música suene mientas el interruptor esté activo. En el momento que lo apagues, la música debe cortarse y todos deben quedarse inmóviles.",7,10,1,"Audio Player, Switch"
