idea,descripcion,edad minima,edad maxima,nivel dificuldad,componentes
Caza-Submarinos en lo Profundo,"Estás al mando de un submarino. El radar indica que hay un tesoro hundido al Este. Programa tu sonar para que haga un sonido de 'Ping... Ping' lento normalmente, pero que haga 'Ping-Ping-Ping' muy rápido cuando mires al Este y inclines el submarino hacia abajo para sumergirte.",11,14,3,"Audio Player, Compass, Inclination"
El Constructor Ciego,"Ayuda a un constructor que no puede ver bien a poner una estantería perfectamente recta. Crea una herramienta que haga un tono continuo molesto si la estantería está chueca (inclinación diferente de 0), pero que toque una melodía de victoria cuando esté perfectamente plana.",9,11,1,"Audio Player, Compass, Inclination"
Creador de Mundos Mágicos,"Diseña un viaje relajante. Programa tu dispositivo para teletransportarte: si miras al Norte, escuchas un bosque. Si inclinas el dispositivo hacia arriba mientras estás en el bosque, añades viento en los árboles. Si miras al Sur, escuchas el océano.",10,13,2,"Audio Player, Compass, Inclination"
El Camarero Robot,"Eres un robot camarero sirviendo bebidas muy caras. Tienes que dar una vuelta completa sobre ti mismo (girar 360 grados) para servir a todos. ¡Pero cuidado! Si te inclinas aunque sea un poco, las copas se caerán. Programa el sonido de 'cristales rotos' si la inclinación deja de ser 0.",8,11,1,"Audio Player, Compass, Inclination"
La Granja Giratoria,"Aprende los puntos cardinales visitando la granja. El Norte es el granero de las vacas, el Sur el estanque de los patos. Programa el juguete para que si miras al Norte y agitas el dispositivo (inclinación rápida), la vaca haga 'Muuu'.",7,10,1,"Audio Player, Compass, Inclination"
DJ de los Cuatro Vientos,"Conviértete en un DJ que mezcla música usando la orientación de la Tierra. Programa el sistema para que al apuntar al Norte suene música clásica con luz azul, al Sur rock con luz roja, al Este pop con luz amarilla y al Oeste jazz con luz violeta.",10,14,2,"Compass, Audio Player, Lamp"
Cazadores del Tesoro Pirata,"¡Hay un tesoro enterrado en una dirección específica! Programa tu brújula para que detecte el cofre. Si apuntas a la dirección correcta (ej. 120 grados), la lámpara debe brillar en dorado y sonar una fanfarria de victoria.",8,12,1,"Compass, Audio Player, Lamp"
El Guardián del Faro,"Ayuda a los barcos a no chocar. Debes programar el faro para que, cuando apunte hacia el Este (el mar), emita una luz blanca brillante y un sonido de advertencia. Si apunta al Oeste (la ciudad), debe apagarse para no molestar a los vecinos.",9,13,1,"Compass, Audio Player, Lamp"
La Máquina del Tiempo Climática,"Crea un dispositivo que cambie el clima al girar. Al apuntar al Norte, la luz es blanca y suena viento de invierno; al Sur, luz naranja y sonido de playa. ¡Programa las cuatro estaciones según los puntos cardinales!",10,14,2,"Compass, Audio Player, Lamp"
Cazafantasmas: Misión Espectral,"Un fantasma invisible se esconde en la habitación. Crea un algoritmo que compare tu dirección con la ubicación del fantasma. Si lo encuentras, activa la alarma roja y el sonido de captura.",11,15,3,"Compass, Audio Player, Lamp"
Maestro Zen del Amanecer,Diseña un asistente de relajación. Tu misión es programar el dispositivo para que reconozca cuando saludas al Sol naciente (Este). Debe recompensarte con una luz rosa suave y música de meditación.,12,16,2,"Compass, Audio Player, Lamp"
El Ladrón de Cajas Fuertes,"Eres un espía intentando abrir una bóveda digital. La combinación es: Norte, luego Este. Programa la lógica para que la luz se ponga verde y haga 'clic' solo si sigues la secuencia correcta de direcciones.",12,16,3,"Compass, Audio Player, Lamp"
Explorador de la Selva,"Convierte tu habitación en una selva. Programa el sistema para que al apuntar al Norte rujan los leones (luz amarilla), y al apuntar al Oeste canten los pájaros (luz verde).",7,10,1,"Compass, Audio Player, Lamp"
Piloto en la Tormenta,"Tu avión debe aterrizar en la pista 0 (Norte) en medio de la niebla. Programa los instrumentos para que muestren luz verde si vas recto (0 grados), pero luz roja parpadeante y alarma si te desvías del rumbo.",10,14,2,"Compass, Audio Player, Lamp"
La Ruleta del Baile,"¡Gira y baila! Crea un juego donde el jugador gira sobre sí mismo. Al detenerse, si mira al Norte debe sonar Salsa, y si mira al Sur, Hip-Hop. La luz debe indicar el estilo.",9,13,2,"Compass, Audio Player, Lamp"
El Juez de la Verdad,"Construye una máquina de la verdad. Si apuntas la máquina hacia la derecha (Este), debe indicar 'Verdad' (luz verde, sonido suave). Si apuntas a la izquierda (Oeste), indica 'Mentira' (luz roja, sonido error).",8,12,1,"Compass, Audio Player, Lamp"
Capitán de Submarino,"Navegas en aguas profundas. Programa tu sonar para que haga un sonido de 'Ping' lento y luz azul tenue normalmente, pero que haga 'Ping' rápido y luz brillante cuando detectes el Norte magnético.",11,15,3,"Compass, Audio Player, Lamp"
Viaje por el Sistema Solar,"Crea un audiolibro interactivo. Para escuchar la historia de Marte, el usuario debe apuntar al Este (luz Roja). Para escuchar sobre Neptuno, debe apuntar al Oeste (luz Azul). ¡Programa las condiciones!",10,13,2,"Compass, Audio Player, Lamp"
Escuela de Magia: Varita Elemental,"Programa tu varita mágica. Si apuntas al Norte (Tierra), la luz debe ser verde y sonar rocas. Al Sur (Fuego), luz roja y sonido de llamas. ¡Define los 4 elementos!",8,12,2,"Compass, Audio Player, Lamp"
El Violín de Arco Iris,"Crea un instrumento que se toca girando. Divide la brújula en 7 secciones. Programa cada sección para que toque una nota (Do, Re, Mi...) y muestre un color del arcoíris diferente.",13,16,3,"Compass, Audio Player, Lamp"
Tecnología Asistiva: El Lazarillo Digital,"Diseña un prototipo para ayudar a personas con discapacidad visual. El dispositivo debe emitir un sonido constante y seguro cuando la persona camina hacia el Norte, pero un sonido de alerta si se desvía.",12,16,2,"Compass, Audio Player, Lamp"
Contacto Alienígena,"Estás sintonizando mensajes del espacio. Programa el sistema para que reproduzca 'ruido estático' en casi todas las direcciones, pero si apuntas exactamente a 45 grados, reproduzca el 'mensaje secreto' y encienda una luz verde.",11,14,3,"Compass, Audio Player, Lamp"
Maestro del Tai Chi,"El Tai Chi requiere movimientos lentos. Usa la brújula para detectar cambios de dirección. Si el cambio es suave, pon música relajante y luz azul. Si el cambio es brusco, corta la música.",13,17,3,"Compass, Audio Player, Lamp"
El Reloj Astronómico,"Antes no había relojes digitales. Simula el paso del día. Si apuntas al Este, di 'Mañana' con luz clara. Si apuntas arriba (Norte en este mapa), di 'Mediodía'. Si apuntas al Oeste, di 'Tarde' con luz naranja.",10,13,2,"Compass, Audio Player, Lamp"
Agente Secreto de Seguridad,"Protege la entrada de la base. Configura el escáner para que al apuntar hacia la puerta (Sur), active una luz roja parpadeante y una sirena si detecta una intrusión (simulada).",8,11,1,"Compass, Audio Player, Lamp"
El Radar del Tesoro Pirata,"¡Conviértete en un pirata buscando oro enterrado! Programarás tu dispositivo para que actúe como un radar antiguo. Cuando mires hacia el Norte, el 'radar' sonará frenéticamente y mostrará una 'X' en la pantalla LED, indicando que has encontrado el botín. Si miras a otro lado, solo escucharás el viento.",8,11,1,"Audio Player, Compass, LED Matrix"
El Espía Desbloqueador,"Eres un agente secreto intentando abrir una bóveda de alta seguridad. Debes girar tu cuerpo con precisión milimétrica para encontrar los 'puntos dulces'. Cuando aciertes el ángulo correcto, escucharás el mecanismo desbloquearse y verás la luz verde en tu pantalla.",10,14,3,"Audio Player, Compass, LED Matrix"
La Brújula Sinfónica,"Crea una orquesta invisible a tu alrededor. En esta actividad, asignarás un instrumento diferente a cada dirección. Gira hacia el Este para tocar el piano o hacia el Oeste para la guitarra. ¡Baila y gira para mezclar tu propia canción en tiempo real!",9,12,2,"Audio Player, Compass, LED Matrix"
Cazadores de Fantasmas,"¡Hay fantasmas invisibles en el aula! Usa tu dispositivo para escanear la habitación girando lentamente. Cuando tu sensor detecte una presencia (una dirección aleatoria programada), escucharás un grito y verás al fantasma en tu pantalla. ¡Encuéntralos a todos!",10,13,2,"Audio Player, Compass, LED Matrix"
El Murciélago Sonar,"Los murciélagos vuelan en la oscuridad usando el sonido. En este desafío, te vendarás los ojos y confiarás en tu oído. Programa tu dispositivo para que te avise si te estás desviando del camino recto mientras intentas cruzar la habitación sin ver.",11,15,3,"Audio Player, Compass, LED Matrix"
Viaje por los Cuatro Climas,"Construye una máquina de teletransportación climática. Si miras al Norte, estarás en una tormenta lluviosa; si giras al Sur, estarás en una playa soleada. Aprende a sincronizar sonidos relajantes con iconos visuales pixelados para crear una experiencia zen.",8,12,1,"Audio Player, Compass, LED Matrix"
Contacto Galáctico,"Eres un astrónomo buscando vida en el espacio. Tu radio solo capta estática, pero hay una señal oculta en una dirección específica del cielo. Gira tu antena hasta que el ruido desaparezca y escuches el mensaje secreto de los alienígenas.",9,13,2,"Audio Player, Compass, LED Matrix"
El Comandante Dice: ¡Gira!,"¡Atención cadetes! El Comandante os dará órdenes de marcha. Si grita '¡Este!', debéis girar vuestro cuerpo hacia el Este inmediatamente. Si sois rápidos y precisos, ganaréis puntos. Si os equivocáis de dirección, ¡alarma de error!",7,10,1,"Audio Player, Compass, LED Matrix"
Capitán en Alta Mar,"¡Sostén el timón firme! Estás navegando a través de un huracán y debes mantener el barco apuntando al Norte. Si tus manos tiemblan y el barco gira, la tormenta rugirá más fuerte y las olas en la pantalla crecerán. ¡Mantén el rumbo para sobrevivir!",10,14,2,"Audio Player, Compass, LED Matrix"
El Laberinto de Cuentos,Entra en un audiolibro donde tú eres el protagonista. El narrador te dará opciones: ¿Girarás a la izquierda hacia el castillo embrujado o a la derecha hacia el valle de los dragones? Tu movimiento físico decide qué capítulo escuchas a continuación.,8,12,2,"Audio Player, Compass, LED Matrix"
Safari en el Aula,"Convierte tu clase en una selva. Hay leones al Norte y elefantes al Sur, pero están escondidos. Usa tu rastreador para encontrarlos. Gira lentamente hasta escuchar sus rugidos y ver sus huellas digitales aparecer en tu pantalla. ¡Haz un mapa de la selva!",6,9,1,"Audio Player, Compass, LED Matrix"
Torre de Control Aéreo,Los aviones necesitan aterrizar y tú eres el controlador. El piloto te dirá por radio: 'Aproximando por la pista Sur'. Debes girar rápidamente hacia el Sur y encender las luces de la pista (tu pantalla LED) para guiarlos a salvo a tierra.,11,14,2,"Audio Player, Compass, LED Matrix"
Tornados de Baile,"¡Que no pare la música! Este juego pondrá a prueba tus reflejos y tu ritmo. Observa la flecha en la pantalla y gira todo tu cuerpo en esa dirección antes de que caiga el 'beat'. Si lo logras, la música sigue; si fallas, el disco se raya.",9,13,3,"Audio Player, Compass, LED Matrix"
Buscadores de Oro,"Tu detector de metales te ayudará a encontrar la pepita de oro más grande. Camina y gira por la habitación. Cuanto más fuerte suene el 'bip' y más brillante sea tu pantalla, más cerca estarás del tesoro escondido. ¿Puedes encontrar el punto exacto?",7,10,1,"Audio Player, Compass, LED Matrix"
Maestro del Concierto,"Sube al podio y toma la batuta. Tienes el control de toda la orquesta. Gira a la izquierda para que entren los violines, o a la derecha para despertar a los tambores. ¡Dirige la intensidad de la sinfonía con tus propios movimientos!",10,15,3,"Audio Player, Compass, LED Matrix"
El Guardián del Faro,"Es una noche de niebla espesa y los barcos dependen de ti. Debes girar constantemente para que la luz del faro (tu pantalla LED) barra todo el océano. Si te detienes o te mareas, ¡sonará la sirena de niebla y los barcos podrían chocar!",8,11,2,"Audio Player, Compass, LED Matrix"
Misión: Marte Rover,"Estás conduciendo un robot en el planeta rojo y el terreno es peligroso. Programa tu Rover para detectar cráteres invisibles. Si intentas avanzar en una dirección bloqueada, tu sistema de alerta debe sonar. ¡Encuentra la ruta segura a la base!",11,14,3,"Audio Player, Compass, LED Matrix"
Patrulla Nocturna,"Eres el guardia de seguridad de un museo famoso. Para asegurarte de que nadie robe nada, debes realizar un escaneo completo de 360 grados cada minuto. Tu pantalla mostrará cuánto te falta por escanear. ¡No dejes ningún punto ciego o sonará la alarma!",9,12,2,"Audio Player, Compass, LED Matrix"
La Brújula de la Verdad,"Pon a prueba tus conocimientos con movimiento. Escucha la pregunta y decide: ¿Es verdad o mentira? Si es verdad, corre y mira al Norte; si es mentira, gira al Sur. ¡Responde rápido para ganar la puntuación máxima en este quiz físico!",10,14,2,"Audio Player, Compass, LED Matrix"
Cazadores de Viento,"¡Generemos energía limpia! Eres una turbina eólica moderna, pero el viento cambia constantemente. Gira para encontrar la racha de aire más fuerte. Sabrás que estás en la posición correcta cuando tus aspas (en la pantalla LED) giren a toda velocidad.",12,15,3,"Audio Player, Compass, LED Matrix"
Cazadores de Fantasmas Espectrales,"¡Conviértete en un investigador paranormal! Los fantasmas son invisibles y solo salen en la oscuridad total. Debes cubrir el sensor de luz y girar lentamente con tu brújula. Cuando apuntes exactamente al Norte en la oscuridad, escucharás el lamento del espectro indicando que lo has capturado.",8,11,1,"Audio Player, Compass, Light Intensity"
Supervivencia: La Radio Solar,"Estás perdido en una isla desierta y encontraste una radio vieja. Para sintonizar ayuda, debes girar el dispositivo buscando la señal de rescate (diferentes direcciones son diferentes canales). Sin embargo, las baterías están muertas y solo funciona con luz solar directa; si tapas el sensor, la señal se pierde.",10,14,2,"Audio Player, Compass, Light Intensity"
El Código Da Vinci Digital,Eres un ladrón de guante blanco intentando abrir una bóveda antigua. El mecanismo es sensible a la luz y a la orientación magnética. Debes esconder el dispositivo en un cajón oscuro y girarlo lentamente hacia el Oeste para escuchar el 'clic' que indica que la bóveda se ha abierto.,11,15,2,"Audio Player, Compass, Light Intensity"
Compositor del Viento,"Crea melodías etéreas moviendo tu cuerpo y tus manos. Gira sobre tu propio eje para cambiar las notas musicales como si tocaras un arpa invisible de 360 grados, y usa tu mano sobre el sensor de luz para controlar el volumen, creando efectos de desvanecimiento dramáticos.",12,16,3,"Audio Player, Compass, Light Intensity"
¡Escape del Vampiro!,"¡Eres un vampiro y el sol está saliendo! Si el sensor detecta luz, el audio reproducirá un grito de dolor y quemadura. Debes correr (girar) buscando la seguridad de tu cripta (el Norte) y cubrirte de la luz inmediatamente para sobrevivir.",9,12,1,"Audio Player, Compass, Light Intensity"
Expedición a la Caverna Profunda,"Adéntrate en una cueva inexplorada. El juego comienza cuando apagas las luces de la habitación. Escucha el entorno: si caminas hacia el Norte, oirás murciélagos; hacia el Sur, un río subterráneo. Usa tu oído y tu brújula para navegar sin ver.",10,13,2,"Audio Player, Compass, Light Intensity"
Misión: El Museo de Joyas,"Diseña el sistema de seguridad para el diamante más grande del mundo. Configura el dispositivo para vigilar la puerta Este. Si un ladrón ilumina el sensor con su linterna mientras viene de esa dirección, ¡activa la sirena de policía!",11,14,2,"Audio Player, Compass, Light Intensity"
Comandante de Submarino,"Sumerge tu nave cubriendo el sensor de luz para iniciar la inmersión. Una vez bajo el agua (oscuridad), gira tu periscopio (brújula) para rastrear barcos enemigos. Un 'ping' agudo indica que has fijado el objetivo al Norte.",10,13,2,"Audio Player, Compass, Light Intensity"
DJ Galáctico,"¡Eres el DJ de una fiesta alienígena! Gira tu consola (brújula) para cambiar entre ritmos de techno, hip-hop y rock. Usa la sombra de tu mano sobre el sensor de luz para hacer 'scratching' o bajar la intensidad antes de que estalle el bajo.",12,16,3,"Audio Player, Compass, Light Intensity"
La Vida Secreta del Búho,"Vive una noche como un búho. El juego solo funciona con las luces apagadas. Gira tu cabeza (el dispositivo) lentamente para ulular y marcar territorio. Si giras rápido hacia una presa, escucharás el sonido de tus alas en picada.",8,11,2,"Audio Player, Compass, Light Intensity"
Escuadrón Antibombas,"¡Tic, tac! La bomba está activa. El comando te dirá al oído (Audio) hacia dónde girar la herramienta. Pero cuidado: el mecanismo es fotosensible. Debes realizar toda la operación cubriendo el sensor de luz con tu pulgar, o explotará.",11,15,3,"Audio Player, Compass, Light Intensity"
La Brújula de los Cuentos Mágicos,"Este libro mágico te habla. Si apuntas al Norte, te cuenta sobre el Reino de Hielo; al Sur, sobre el Desierto de Fuego. Pero recuerda, no puedes leer en la oscuridad: asegúrate de estar bajo una lámpara para escuchar la historia.",7,10,1,"Audio Player, Compass, Light Intensity"
Contacto Extraterrestre,"Busca señales de vida en el espacio. Escucharás estática hasta que apuntes tu radar (brújula) a la constelación correcta. Para establecer contacto final y recibir el mensaje, debes iluminar el sensor con una linterna para responder a sus señales de luz.",10,14,2,"Audio Player, Compass, Light Intensity"
Maestro del Zen,"Crea tu propio santuario de paz. Gira hacia el Este para escuchar el océano o al Oeste para el bosque. Experimenta cubriendo el sensor: con luz escucharás pájaros cantando, y en la oscuridad escucharás grillos y búhos nocturnos.",12,16,2,"Audio Player, Compass, Light Intensity"
El Escape del Topo,"Eres un topo cavando túneles bajo el jardín. Debes encontrar la zanahoria dorada guiándote por el olfato (sonidos de 'sniff' que se aceleran en la dirección correcta). ¡Pero cuidado! Si detectas luz fuerte, significa que cavaste hacia arriba y el granjero te verá. ¡Mantente en la oscuridad!",8,12,2,"Audio Player, Compass, Light Intensity"
Capitán de la Tormenta,"Navega tu barco a través de un huracán. Mantén el rumbo al Norte escuchando el viento. Si el sensor de luz detecta un 'flash' (puedes usar una linterna parpadeando), es un rayo inminente: ¡gira el timón (brújula) rápidamente para esquivarlo o el barco se hundirá!",10,14,3,"Audio Player, Compass, Light Intensity"
Escuela de Hechicería,Aprende a lanzar hechizos. Apunta tu varita al Este y cubre la luz para lanzar 'Bola de Fuego' (sonido de explosión). Apunta al Oeste y deja entrar luz para lanzar 'Viento Curativo' (sonido de campanas). ¡Memoriza las combinaciones!,9,13,2,"Audio Player, Compass, Light Intensity"
Ciudad Accesible,"Diseña una herramienta para ayudar a personas con discapacidad visual. El dispositivo debe guiar al usuario. Si apunta al Norte (el cruce) y el sensor detecta la luz del semáforo, debe emitir un sonido rápido de 'pi-pi-pi' para indicar que es seguro cruzar.",11,15,3,"Audio Player, Compass, Light Intensity"
Desafío Saludo al Sol,"Empieza tu mañana con energía. El entrenador digital te pedirá que realices la pose 'Saludo al Sol'. Para ganar, debes orientarte perfectamente hacia el Este (donde sale el sol) y asegurarte de estar en un lugar bien iluminado. Solo entonces sonará el gong de la victoria.",8,12,1,"Audio Player, Compass, Light Intensity"
El Ninja de las Sombras,"Debes infiltrarte en la base enemiga (una ubicación al Norte). Tu radar (audio) suena más rápido cuanto más te acercas a la dirección correcta, pero los guardias te oirán. Para moverte en silencio, debes mantener el sensor en la sombra. Si te da la luz, ¡el radar te delata!",10,13,2,"Audio Player, Compass, Light Intensity"
El Explorador del Polo Norte,"¡Eres un explorador en una tormenta de nieve! Debes encontrar el campamento base. Si caminas hacia el Norte (la dirección correcta) y te mueves constantemente, escucharás música triunfal. Si te desvías, escucharás solo el viento aullando.",10,12,1,"Audio Player, Compass, Motion"
Fiesta de Baile Galáctica,"Conviértete en el mejor DJ de la galaxia. Gira hacia el Este para poner música Techno, o al Oeste para Rock. ¡Agita tu dispositivo al ritmo de la música para añadir efectos láser y animar a la multitud alienígena!",12,15,2,"Audio Player, Compass, Motion"
Cazadores de Espectros,"Usa tu dispositivo para encontrar fantasmas ocultos en el aula. Escucha la estática; si apuntas hacia el Sur y caminas muy despacio (sigilo), escucharás la risa del fantasma. ¡No corras o se escapará!",11,14,2,"Audio Player, Compass, Motion"
El Maestro de la Sinfonía Mágica,Dirige una orquesta invisible. Apunta al Norte para despertar a los violines y agita tu 'varita' (dispositivo) suavemente para que toquen. Gira al Sur para los tambores y agita fuerte para un final explosivo.,13,16,3,"Audio Player, Compass, Motion"
Escape del Laberinto del Minotauro,Escucha al narrador: 'Llegas a una bifurcación'. Gira a la izquierda (Oeste) para ir al río o a la derecha (Este) para entrar a la cueva. Camina en tu lugar para confirmar tu decisión y descubrir tu destino.,10,13,2,"Audio Player, Compass, Motion"
Campamento de Entrenamiento de Superhéroes,"¡Entrena para salvar el mundo! La computadora te ordenará: '¡Mira al Norte y corre!' o '¡Mira al Sur y salta!'. Si lo haces bien, escucharás sonidos de poder; si fallas, un sonido de error.",9,12,1,"Audio Player, Compass, Motion"
Piloto de Niebla,No puedes ver nada por la niebla espesa. Confía en tus instrumentos. Escucha a la torre de control: 'Gire al rumbo 270'. Inclina tu avión y mantén el rumbo mientras los motores rugen. ¡Cuidado con las turbulencias!,12,15,3,"Audio Player, Compass, Motion"
Compositor Alienígena,Crea música de otro planeta. Gira lentamente en círculo para cambiar la nota musical que suena. Agita el dispositivo para añadir un efecto vibrante 'wobble-wobble' a tu extraña melodía.,11,14,2,"Audio Player, Compass, Motion"
Estatuas Ninja,"Debes infiltrarte en el palacio mirando siempre al Norte. Cuando la música suene, avanza sigilosamente. Cuando la música pare, ¡congélate! Si te mueves o te desvías del Norte, sonará la alarma.",8,11,1,"Audio Player, Compass, Motion"
El Templo del Silencio,"Encuentra tu paz interior. Busca el Este, por donde sale el sol. Sostén tu 'vela' (dispositivo) con total quietud. Solo entonces escucharás el canto de los pájaros y el fluir del río.",12,16,2,"Audio Player, Compass, Motion"
Safari Sonoro,Escucha atentamente. ¿Oyes el rugido del león? Gira hasta que el sonido sea más fuerte y camina (agita el dispositivo) hacia él. ¡Ten cuidado de no acercarte demasiado rápido o lo asustarás!,9,12,1,"Audio Player, Compass, Motion"
Escuela de Magia: Clase de Duelos,"Para lanzar una Bola de Fuego, mira al Sur y haz un movimiento rápido de empuje. Para invocar un Muro de Hielo, mira al Norte y mantén el dispositivo firme. ¡El sonido te dirá si el hechizo funcionó!",10,13,2,"Audio Player, Compass, Motion"
Radar Humano,"Eres la torre de control. Gira 360 grados para escanear el cielo. Cuando escuches el 'bip-bip' de un avión, detente en esa dirección y agita tus luces de aterrizaje para guiarlo a la pista.",11,14,2,"Audio Player, Compass, Motion"
Viajeros del Tiempo,Tu dispositivo es una máquina del tiempo. Camina hacia el Norte para escuchar cómo sonará la ciudad en el año 3000. Camina hacia el Sur para oír dinosaurios. ¡Corre para viajar más rápido a través de los años!,13,16,3,"Audio Player, Compass, Motion"
Capitán de Alta Mar,"¡Tormenta a la vista! Si escuchas que la ola viene del Oeste, inclina tu barco hacia el Oeste para cortarla. Si te mueves demasiado bruscamente, el barco se volcará y oirás un chapuzón.",10,13,2,"Audio Player, Compass, Motion"
El Ladrón de Bancos,"Abre la caja fuerte gigante. La combinación es: Norte, Golpe, Oeste, Golpe. Gira tu cuerpo a la dirección exacta y da un golpe seco al aire. Escucha el 'clic' de los cerrojos abriéndose.",12,15,3,"Audio Player, Compass, Motion"
Museo de Historia Invisible,"Convierte tu habitación en un museo. Mira al Norte y camina para oír sobre el T-Rex. Mira al Sur y camina para aprender sobre las Pirámides. Si te detienes, la guía se pausa.",9,12,1,"Audio Player, Compass, Motion"
Desactivador de Bombas,"Estás en un campo minado. Escucha el sonar. Si el pitido es rápido, ¡no camines en esa dirección! Gira hasta que el pitido sea lento y da pasos suaves para cruzar a salvo.",11,14,2,"Audio Player, Compass, Motion"
El Maestro del Kung Fu,"Demuestra tu equilibrio. Párate en un pie mirando al Este. Mantén la postura perfecta. Si te tambaleas (movimiento) o giras, el gong sonará indicando que has fallado la prueba.",10,13,1,"Audio Player, Compass, Motion"
